,review_text,verified_purchase,word_count
53,tresemm year previous regular heat protect recommend one colour treat hair gave go ive look back leav hair love shine ive got dy red hair hard keep look healthi seem good job heat protect dri hair straighten tong seem keep damag away,False,42
54,much cheaper boot great valu,True,5
55,like blue version overpow aw smell bin,False,7
56,like one regular wash everyth come clean two load kg wash lot white wash give extra boost machin water cycl good valu money buy pack three regular purchas,True,28
57,excel valu hav carri,True,4
58,wash,True,1
59,love fresh smell,True,3
60,great item,True,2
61,like noodl tast like spare rib,True,6
62,good deodor easili irrit like dove soap seem irrit dri dove soap quit long time certainli someth good seem good main sell point beyond effect hour deodor prone mark cloth certainli seem work far goe though abl test everi singl colour good though recommend,False,44
63,great bodi wash cheap fast deliveri,True,6
64,yet tri tast day age start produc perfect glass bottl suddenli plastic,False,12
65,even worth one star bring lot white stuff high expect total failur wast,True,13
66,bought step dad,True,3
67,love oh smell good hate year still everyon els,True,9
68,great gift,True,2
69,classic know hellman mayo cap stay much cleaner jar tast great everyth,False,12
70,cool,True,1
71,absolut great moistur dri complain smell great like coca butter smell,True,11
72,great packag buy,True,3
73,work well truli invis,True,4
74,nice cost effect,True,3
75,great,True,1
76,exactli say kitchen sink alway get block sinc put block last month,True,12
77,favourit scent intens rang smell love last age cloth recommend amount otherwis scent strong definit wash probabl half,False,18
78,find best laundri part includ one dose like liquid powder smell great wash well,False,14
79,calori realli big portion,False,4
80,cream easi appli feel extremli cool doesnt dri kind sticki feel littl scent fact frangranc fairli neutral good cream spread soak easili review collect part promot,False,26
81,execel made feel silki smooth extrem hydrat coupl week felt healthier hydrat overal look better would definit recommend friend review collect part promot,False,23
82,cream light odourless leav feel genuin smooth suppl refresh part nightli routin appli go bed wash dri face light enough clog pore feel sticki face morn face alway feel smooth replenish also tri cream daytim benefit describ u long last enough term hydrat give mean often feel need reappli hour great overnight moisturis sensit u unscent u realli gentl sore patch review collect part promot,False,65
83,fresh clean reliabl deliveri,True,4
84,great combin start yo born still,True,6
85,nice fresh smell,True,3
86,crave thing transport us back innoc time bovril one thing gooey unctuous tar black bovril overflow spoon ding ding ding stir hot water make dissolv earthi beefi smell hint celeri good know els sometim get alcohol fatigu bovril great altern nightcap even mug tea even go far dissolv pat butter extra rich within hour pretti much knock sleep soundli morn warm comfort pack last long time sure certainli winter,True,69
87,love bought cheaper home bargain,True,5
88,item damag unabl pour without spillag transfer anoth bottl unabl wait replac,True,12
89,good price,True,2
90,came fast,True,2
91,hi simpl absolut must facial moisturis cannot find uk store anywher discontinu pleas,False,13
92,pleas go back old capsul new one make household suffer terribl allerg reaction constant hay,False,15
93,never usual laundri soften pleasantli surpris result cloth smelt great smell last despit children best effort cloth came much softer think convert,False,22
94,marmit lover switch back glass jar marmit right consist squeez glass jar recycl,False,13
95,great,True,1
96,thank,True,1
97,got great buy put much wash clean cloth end fragranc last long time,True,13
98,lure entic fragranc condition notic eye would smart kid would ask seem squint eye back comfort pure reaction smell good soften cloth complain,False,23
99,give good result fragranc strong though last long time realli like realli abl still avoid,False,15
100,good,True,1
101,good size spray,True,3
102,price bulk pack less buy item individu somewher els shampoo tend dri hair like lot chemic perfect contain noth keep dandruff free even anti dandruff shampoo alway work found past,True,30
103,like make soup casserol well,True,5
104,best ice cream ever,False,4
105,live extrem hard water area half year soon hair becom dri scalp sensit great shampoo husband complet satisfi,False,18
106,easi recommend want get glam go somewher,True,7
107,disappoint show big condition small arriv,True,6
108,know work,True,2
109,clean cloth well mani cloth smell good wise price good,True,10
110,would recommend good valu,True,4
111,buy thank,True,2
112,say,True,1
113,alway fan dove antiperspir effect last longer ever realli gentl keep fresh day long,True,14
114,expect repeat purchas,True,3
115,excel valu money,True,3
116,excel clean good valu,True,4
117,happi,True,1
118,excel valu,True,2
119,great valu shampoo,False,3
120,exactli wat say box amazon deal less money spent,True,9
121,exact similar litr one costco thick smelt love similar regular size one supermarket think larg quantiti issu one amazon runni dilut smell soften cloth may fake think realli curiou bad batch amazon sourc genuin baffl,True,35
122,amaz offer price resist,True,4
123,hand realli dri bleed due eczema handwash dosent dri hand make bleed,False,12
124,issu say,True,2
125,need say time soup risotto,True,5
126,simpli love deodrant scent great fresh sporti week never problem never leav white mark cloth,False,15
127,thicken gravi realli well add wonder flavour,False,7
128,amaz great price,True,3
129,smell great easi one hand applic,True,6
130,good valu would recommend,True,4
131,bodi deodor love smell great valu money,False,7
132,floor cleaner smell good home feel refresh,True,7
133,btilliant buy,True,2
134,valu money,True,2
135,fabric condition work less one smell divin last,True,8
136,find shop bought line thought fake brand smell similar quit africa poorer sinc new label,False,15
137,year happi last can nozzl block within week cant clear hot water bit disappoint,False,14
138,buy year content good howev bottl aw three time cut right fingernail open also turn upsid approach empti due ridicul design bottl,False,22
139,pleasant littl scent want shower gel brilliant nasti chemic smell super clean design great whole famili young old simpl friendli mean perfum colour honestli say leav irrit sensit problemat prone dermat stuff could face wash gentl review collect part promot,False,40
140,wipe great get stubborn make love fact wipe infus miner plant extract ther irrit sting face feel smooth refresh review collect part promot,False,23
141,great qualiti wipe strong tear apart like wipe must buy brand name purchas near futur satisfi simpl line review collect part promot,False,22
142,love face wipe great job remov make left feel squeaki clean ad bonu absenc strong smell feel left love review collect part promot,False,23
143,sensit work realli well took make easili u irrit felt realli refresh would definit purchas futur would recommend review collect part promot,False,22
144,month realli pleas work get make easili smell nice wet leav moisturis silki clean irrit defient new favourit make remov review collect part promot,False,24
145,tri test quench night cream light soft textur appli night soak make fell soft would recommend friend famili work wonder review collect part promot,False,24
146,happi light sensit would recommend appli much wish day u feel bad come easi plastic tub easi screw top review collect part promot,False,23
147,great water base moisturis light give dewi complexion sinc twice day notic signific improv elast tone review collect part promot,False,20
148,anoth great simpl ever stop make pleas,False,7
149,good flavor,True,2
150,great,True,1
151,question say bottl,True,3
152,good valu favourit condition,True,4
153,love smell,True,2
154,love howev hard spray would recommend though,True,7
155,got tri wasnt disappoint littl less thick condition market make go also notic tray doesnt get mucki afterward cloth soft love subtl scent still larg bottl go long way,False,29
156,littl goe long way,False,4
157,convinc smell match origin seem less thick previou descript refer batteri review show verifi purchas none name,True,17
158,great soap wife love actual moistur everytim,True,7
159,love soap clean well keep hand moist good peopl eczema,True,10
160,definit worth money laundri often last month definit buy,True,9
161,arriv super fast two good size bottl dont know peopl moan review size fabric soften ultra concentr dont need full cap last long enough fabric soften also smell great,True,29
162,great happi,True,2
163,great price purchas still price would subscrib buy,True,8
164,love smell pour smaller bottl make manag beat,True,8
165,pod work well great valu three bag bought,True,8
166,love comfort pure children sensit irrit like soften done past scent also pleasant overpow,False,14
167,thank,True,1
168,bit wateri,True,2
169,good,True,1
170,blue bottl alot better smell less blue bottl cloth hang outsid wash line small anyth,False,15
171,great valu money smell nice seem stop hair static day,True,10
172,good,True,1
173,arriv broken spilt insid envelop,True,5
174,squirt well,False,2
175,good valu amount capsul get packet good price,True,8
176,bit runni thick liquid ok,True,5
177,work great,True,2
178,simpl rich moisturis year need find altern new formula burn real shame loyal custom switch inform explan provid manufactur,False,19
179,excel valu money,True,3
180,great buy,True,2
181,person tast sold mine,True,4
182,three flavour good,False,3
183,tri mani english mustard time alway come back colman sunday roast take tube invari serv inferior one,False,17
184,titl suggest realli wont buy tea bag pg tip good strong flavour like strong tea get realli good cup tea bag overli packag like never problem damag tea bag other mention continu buy stapl,False,34
185,bleach bleachi bleach bleach,False,4
186,buy shampoo husband shave head everi week year doesnt requir expens shampoo fragranc love complaint lather well clean head tini bit hair perfectli nice packag realli cant go wrong,False,29
187,dove deodor stick best deodor ever goe love smell amaz leav feel dri confid smell fresh day long love star highli recommend,False,22
188,great qualiti,True,2
189,buy amazon prime order problem,True,5
190,great love scent last age,True,5
191,,True,0
192,wash cloth nice,True,3
193,great tast add depth flavour meal importantli famili gluten free,True,10
194,year ago love pot noodl student yuck add addit sauc even pasta tast like carboard situat recent access kettl chose mugshot big mistak,True,23
195,like bottl unsuit plastic thin good thing mean almost imposs pick bottl fill small cap without spill signific amount especi bottl still rel full buy happi decant content sturdier bottl,False,30
196,love lynx happi buy write review femal like scent men think scent stay longer nice consist lose hand plughol,False,19
197,perfect,True,1
198,great great price,True,3
199,last forev work well chang anoth brand smell pretti neutral,True,10
200,goo,True,1
201,consider friend brought dinner parti vegan enjoy turn everybodi love even dairi version delici flavour less heavi textur realli good vanilla ice cream,False,23
202,fine struggl get smooth thin lid time wet hand imposs also design make difficult hold pour bottl buy,False,18
203,alway buy love qualiti smell nice leav mark cloth,False,9
204,love keep hair protect,True,4
205,happi item,True,2
206,brilliant left drain clear clean,False,5
207,great valu,True,2
208,fine,True,1
209,v bought load offer wash half cap small much good sens smell way descript say put drop like wtf need cap full think wash,False,24
210,bulk bought drive heavi carri supermarket scent good suppos last wash half lidful like throw full cap last long,False,19
211,quit solid find easier contain place warm water minut,True,9
212,good alround thank,True,3
213,pouch arriv persil box brown box safe packag good wash capsul easi,True,12
214,fantast price mother law love great,True,6
215,well worth,False,2
216,seem genuin brand came smell liquid usual consist comfort buy,True,10
217,idea claim wash,True,3
218,like,True,1
219,get live dead handi,True,4
220,love smell,True,2
221,smell good expens,True,3
222,good,True,1
223,love past coupl year recent bought amazon found whole lot cheaper boot also tame hair dri along protect heat,True,19
224,good valu money,True,3
225,know anyon like smell tast like weed vinegar,False,8
226,struggl open lid spill everi time tri cap measur terribl design itsel fine would avoid buy irrit lid,False,18
227,mani year problem differ itch bought differ shop still itchi buy anymor,False,12
228,bought week ago tri mani differ tan best come across leav feel moisturis soft nice natur tan streak definit recommend,False,20
229,good valu money contain make difficult pour without spill,True,9
230,never buy capsul stuck togeth leak make unus cancel subscript,True,10
231,good clean kid sensit,True,4
232,nice mustard smooth tasti,False,4
233,great,False,1
234,price rate nephew want christma,True,5
235,your look super moistur bodi wash leav super soft,False,9
236,love bodi get super dri winter help reduc fyi,False,9
237,kid sensit doesnt irrit us great last scent littl bit goe long way bottl last price reason compar similar,False,19
238,bodi wash soft origin dove origin smell love prefer smell cucumb green tea deep mostur bodi wash mean definetli work great mostureris prefer one still recommend good,False,27
239,winter help keep moistur find need follow lotion shower get dri work well inexpens like plain scent well,False,18
240,feel like im realli get clean love lotion feel overli price,False,11
241,love soft feel cold winter month especi help,False,8
242,good,True,1
243,huge bottl smell love cloth dri indoor didnt need soften exxtra scent fast deliveri thankyou,True,15
244,buy frequent leav slime cloth particularli lower temperatur wash manufactur know packag advis simpli rins warm water occur take kg load machin easi spot usual find put garment time dri encrust,True,31
245,great smell clean brilliantli,True,4
246,packag comfort spilt time put wash machin heavi like said comfort wise good,True,13
247,great price,True,2
248,love size bottl smell gorgeou littl goe long way,True,9
249,fab stock filler,True,3
250,great buy blow dri hair prevent heat damag would recommend got great price bottl,True,14
251,happi yet prob fault get spray gun work star cheap deliv quick numpti open,True,14
252,condition good howev bottl lid terribl difficult pour tini lid measur bottl slipperi hold pour buy caus much aggrav,False,19
253,cannot beat,True,2
254,never chang,True,2
255,amazinng smell look realli health,True,5
256,mayb mani,True,2
257,perfect price,True,2
258,arriv broken lid leak box half bottl left,True,8
259,good valu set took star expect comfort size persil quit bit smaller pictur mislead apart great set reason price,True,19
260,stock save money quit strong smell need much,True,8
261,love creami soap would anyth els love lather shower smell love noth like,True,13
262,good,True,1
263,nice smell great anitipersperi also work men,True,7
264,love work realli well protect hair would expect,True,8
265,good,True,1
266,make hair smell great definit recommend condition work realli great well,True,11
267,amaz came perfect time,False,4
268,alway take badeda go holiday love bath sooth day sun,False,10
269,sorri say tast aw creat greasi film top stain teeth ceram think peopl milk realis get mix straight would see bad two cent,False,23
270,go laundri deterg work even,True,5
271,nice smell last longer,True,4
272,love smell,False,2
273,met usual lynx standard,True,4
274,love scent good wash,True,4
275,excel,True,1
276,cream burn lot spot buy,False,5
277,never anyth els soft creami pamper ideal summer winter tri other noth compar worth everi penni,False,16
278,bought mani time best eye cream around view especi us advanc year need someth gentl effect excel vitamin miner simpl approach cream choos anyth els fact buy onlin boot local store alway stock,False,33
279,love scent smell somewhat like babi powder feminin sure much keep perspir sweat lot danc keep smell bay love wish leav horribl waxi residu hard remov shower,True,27
280,perfect quick snack brilliant cupboard stock,True,6
281,love soap leav feel smooth moisturis,True,6
282,smell realli fresh,True,3
283,sign subscript great valu wonder smell last age never fabric condition compar,True,12
284,great valu,True,2
285,smell nice creami textur doeant dri hand buy,False,8
286,liter year chang someth irrit slight burn sensat earth would chang perfect pleas go back old one,False,17
287,smell divin easi glide feel soft luxuri everi dri patch smooth soft smell divin well worth star one desert island review collect part promot,False,24
288,smell aaaaaaaaamaz fresh great valu larg bottl last age cheaper high st store rsi carri heavi shop,True,17
289,brill,True,1
290,nice smell shower gel,True,4
291,love decent fabric soften nice fragranc,True,6
292,smell nice cloth nice soft,True,5
293,love smell comfort buy time would diffid recommend leav cloth smell nice,True,12
294,smell amaz,False,2
295,smell nice keep cloth smell fresh,False,6
296,smell good last long time order anoth,True,7
297,cheaper get ask attend,False,4
298,usual purchas costco extrem good valu would definit recommend,True,9
299,may well plain water would job noth,True,7
300,perfect flavour,True,2
301,ok,True,1
302,laundri,True,1
303,nice,True,1
304,great valu,True,2
305,decent price lot cheaper store last age,True,7
306,nice prefer buy,True,3
307,great hair straighten,True,3
308,great great price,True,3
309,suppos,True,1
310,arriv pot noodl say,True,4
311,recommend amount refresh fabric similar amount normal one need lucki get wash,True,12
312,smell nice justv hour,True,4
313,happi lt concentr say wash state,True,6
314,dri keep moisturis much longer,False,5
315,like fabric soften tri other return one,False,7
316,gave one jar away gift still two huge jar marmit surviv brexit,True,12
317,smell divin love fresh fragranc last thought dryer cycl cloth storag like one,True,13
318,good price good wash pod,True,5
319,found cream absorb non greasi oili felt comfort appli think well love compar expens one cheap good qualiti,False,18
320,bottl stuff amaz hair recommend enough,False,6
321,bought treat children love tasti also fill treat summer time indoor winter got local supermarket back review collect part promot,False,20
322,happen love cream eyemak remov,False,5
323,sceptic soap u littl miracl first face could see huge differ feel plump moisturis love glow daili stapl love thank x,False,21
324,tri simpl hydrat cleans wipe even remov makeup cleanos found wipe soft easi wipe noth wet rough enough remov stubborn make feel gentl time ideal need tone take makeup hurri handi travel would recommend anyon sensit dri review collect part promot,False,41
325,recent true soon wipe fantast give perfect clean work moistur refresh everi time well worth tri good reviv review collect part promot,False,22
326,pleas pleas magnum tub incas chocol amazebal love love love flavour go well togeth delici,False,15
327,shower gel mild yet give nice shower experi feel clean shower gel gentl without irrit keep famili bathroom member household mean clutter mani also littl goe long way review collect part promot,False,32
328,quit sensit bodi wash often break gel wash howev bodi wash issu realli great littl goe long way realli recommend sensit review collect part promot,False,25
329,tri first time today packag good easi open etc good squeez releas shower gel smell love shower puff shower gel froth easili well felt soft moisturis clean would recommend review collect part promot,False,33
330,artif perfum colour harsh chemic upset love thank simpli anoth brilliant brilliant sensit recommend everyon els good qualiti review collect part promot,False,22
331,love simpl shower gel make feel clean soft refresh without nasti chemic strong perfum scent great everi day especi sensit dri quit prefer soft spong gentli exfoli suffer dri would give go super afford easi review collect part promot,False,39
332,u shower gel realli like pretti much unscent leav feel clean particularli like sensit havent issu sinc good valu money good size review collect part promot,False,26
333,love nice appli spong shower good make warm nice make dri good recommend everyon need bath shower review collect part promot,False,21
334,got coupl day ago shower refresh leav bodi soft smooth love fresh smell cucumb make feel relax would highli recommend best review collect part promot,False,25
335,leav love fragranc laundri howev hate absolut arrog unilev comfort design larg heavi bottl without incorpor handl tri pour hold one hand lid like go spill hand floor buy,False,29
336,pour cap white gold one wash machin expect spring fresh cloth time matter cold wash cardigan thirti degre tie boil bikini clean anyway look review small bottl could doubl dedic buy next size get ylang ylang hit town,False,38
337,sainsburi cheddar chees sauc mix g scrummi good delic flavour perfect chees sauc requir easi make pleas sainsburi bring back version,False,21
338,realli enjoy luxuri shower gel simpl felt fresh scent kept feel realli clean confid nasti chemic worri children could review collect part promot,False,23
339,perfect sensit shower gel cleans refresh without irrit like variou gel also love fresh smell contain great ingredi chamomil oil would definit recommend review collect part promot,False,27
340,love shower gel exactli aim lather well smell divin left feel extrem fresh hydrat afterward need lot either mean long last cost effect review collect part promot,False,27
341,great shower wash even though cucumb extract strong smell anyth great husband happi sensit irrit would like see eco friendli ingredi glass bottl refil option review collect part promot,False,29
342,got littl concern detest cucumb wari worri realli strong gel clear smell fresh overpow go guess due natur addit rather artifici flavour etc lather well smell left linger great stuff review collect part promot,False,34
343,love smell shower gel smell quit natur like brand fragranc strong feel quit refresh shower gel trend dri gel seem right balanc cleans moisturis review collect part promot,False,28
344,u around week u say u pretti standard shower gel smell quit strang smell like cucumb bottl almost like tea quit gentl ultim u say u pretti averag review collect part promot,False,32
345,simpl refresh shower gel realli great sensit colour nasti stuff smell realli good provid good lather irrit even littl niec without complaint review collect part promot,False,26
346,simpl rang pretti sensit love shower gel foam nice mild refresh scent feel soft cleans without dri review collect part promot,False,21
347,shower gel morn say refresh left soft suppl light refresh smell give thoroughli clean feel definit new stapl famili children includ review collect part promot,False,25
348,bought month ago cant stop purchas u refresh u name suggest love fresh smell stay wash nice continu sensit gentl review collect part promot,False,24
349,love simpl shower gel like gel like glue hard rub slip bath goe smoothli easili wast leav feel silki soft top scenti smell simpl like review collect part promot,False,29
350,like simpl brand feel natur chemic bodi wash shower gel realli great want someth less scent basic feel friendli leav feel clean wash review collect part promot,False,27
351,neutral u cheap get pay smell niceish natur special standard shower gel posit u artifici perfum colour chemic review collect part promot,False,22
352,reactiv eczema found shower gel calm aggrav u pleas see fewer ingredi similar ad perfum liter u smell anyth ideal u happi anoth brand shower gel feel safe without risk flare review collect part promot,False,35
353,amaz feel super soft touch foam easili hand smooth like silk slight scent overpow u need lot gel either littl went long way u irrit singl bit massiv bonu love review collect part promot,False,34
354,expect simpl nice gentl dont need tonn last expect complaint nice consist would definit buy review collect part promot,False,19
355,simpl great ever alway great fan simpl quit sensit perfect refresh without overpow scent littl goe long way well particularli bodi puff review collect part promot,False,26
356,realli gentl cleans strong smell though kind foam nice hope scent bit would great sensit delic small amount need review collect part promot,False,23
357,week say great subtl smell clean well would recommend good shower gel also afford price star review collect part promot,False,20
358,love shower gel fresh scent littl bit goe long way keep smell fresh longest hour gentl make whole bodi soft smooth would highli recommend review collect part promot,False,28
359,simpl brand break easili get dri brand soap shower gel like simpl happen simpl refresh shower gel exactli say give clean feel without irrit liter smell review collect part promot,False,30
360,bought shower gel time whenev sensit react anoth true simpl brand name neutral great job irrit look someth luxuri highli scent shower gel good everyday essenti review collect part promot,False,30
361,alway feel dri shower howev sinc seen real improv like textur alway feel good refresh nice light refresh scent review collect part promot,False,23
362,love simpl know harm start facial start shower gel great soft smell leav feel realli soft would highli recommend review collect part promot,False,23
363,simpl rang full nasti kind shower gel refresh light cucumb smell bubbl well left soft dri great famili refresh floral masculin smell review collect part promot,False,26
364,thought would give shower gel whirl alway look tri new one friend said good thought would give whirl scent hardli u last like expect u allow feel like u anyth prefer scent last day other said serv purpos soap would buy unless mani option avail review collect part promot,False,49
365,tend anoth soap free brand end tri u great suffer reaction soap dri great also person would probabl babi u also fragranc free u great valu money review collect part promot,False,31
366,love shower gel perfum thing especi due babi nd market lot avoid post birth irrit fresh job without harm chemic review collect part promot,False,24
367,u irrit instead felt nice soft instantli appli easili u lot felt refresh scent level right overpow review collect part promot,False,21
368,perfect,True,1
369,spill everywher box,True,3
370,absolut love scent make cloth smell fresh well bed linnen,True,10
371,pick rush store pleas remov make eas leav feel tighter brighter side wipe remain strong moist usual micellar water continu good overpow scent perfum colour excel qualiti immedi result tri disappoint super soft residu pleas,False,35
372,usual buy organ cosmet want natur without high price tag delight find shower cream one big brand contain sl harm irrit ad foam agent creat lather silki smooth thick creami gentl rich enough moisturis dri matur gorgeou delic fragranc feel far expens excel valu especi contain sodium laureth sulfat sodium lauryl sulfat paraben,False,53
373,mayonnais would get star tast contain style substanc squeezi bottl geniu idea that stop tall size cap make top heavi unstabl everi bottl ive ever put fridg tumbl cap made brittl plastic shatter hit kitchen floor like groundhog day time happen review comment imposs get bottl sure contain cri design overhaul,False,51
374,ice cream great cooki dough piec right size ice cream creami delici problem open tub imposs stop eat gone,False,19
375,nightli treat perfect,False,3
376,perfect even better offer,False,4
377,far concern best remov makeup even waterproof mascara tri mani make none good,False,13
378,tri alot bleach toilet clean year keep come back domesto far superior other tri realli thick excel clean job alway reliabl,False,21
379,ive tri mani altern mayo beat homemad reliabl tasti versatil last age fridg,False,13
380,half bag split,True,3
381,good valu money wash realli well love smell,True,8
382,love rang bodi lotion greasi easi appli soak quickli leav feel super soft moisturis great valu money scent fresh light great go beauti essenti bathroom cupboard review collect part promot,False,30
383,happi vaselin intens care cream gentl sooth fussi purchas sensit dri tick box perfect type happi review collect part promot,False,20
384,morn receiv bottl vaselin alo sooth tryit sampl wait tri feel smell amaz lotion easi appli soak right love review collect part promot,False,23
385,suffer dri age alway look find best give reliev stop look final find vaselin intens care alo first come big bottl dont worri finish fast come smell nice clean fresh final import reliev sooth realli absorb fast dont need wait put cloth realli love review collect part promot,False,48
386,cream one best bodi cream tri expect much pleasantli surpris cream nice creami white textur greasi absorb quickli make feel love soft smooth cream also absolut gorgeou refresh smell alo vera could smell day love review collect part promot,False,39
387,decent everyday lotion clean light scent luxuri natur petrolatum alo fairli light textur job effect moistur good price especi still damp review collect part promot,False,25
388,love day cream make feel love help age,True,8
389,great arriv quickli nice scent,True,5
390,arriv time well packag great need much strong fragranc,True,9
391,realli good valu money perfect wash babi cloth,True,8
392,leak order suggest,True,3
393,love smell soft,True,3
394,excel awhil suitabl whole famili make obviou choic,False,8
395,start could find old simpl night cream impress seem caus breakout eye irrit make differ sot make wors,False,18
396,love sweet smell bodi lotion cream thick absorb quickli bottl state non greasi formula found correct appli lotion morn hour later still felt soft review collect part promot,False,28
397,bodi lotion never tri vaselin one wish pleasant fragranc leav soft nourish shower area dri tend bed realli notic differ previou lotion morn review collect part promot,False,27
398,got coupl day ago shower smell realli nice realli good leav soft smooth last day cold weather need someth like realli good keep moisturis fresh day review collect part promot,False,30
399,lightli fragranc lotion dispens easili bottl found spread well across absorb quit quickli realli seem work well dryer area knee elbow tri feet also revel quit thin absorb quickli meant need bed sock slip place night also moisturis feet realli well realli impress versatil lotion review collect part promot,False,49
400,month love dri twice week help keep control eldest daughter eczema small amount everi night elbow realli help smell love absorb quickli leav sticki residu like love lot review collect part promot,False,32
401,suffer bad dri winter start vaselin intens care alo sooth bodi lotion result amaz feel soft smooth happi continu daili review collect part promot,False,24
402,love cream heavi overli soak keep moisturis age realli soft fragranc overli perfum remind holiday suffer realli dri arm hand applic look felt significantli better review collect part promot,False,29
403,winter left dri especi hand wrist perfect solut moisturis clean fresh smell alo absorb realli quickli greasi feel small amount need make differ ml bottl last well spring ad daili routin review collect part promot,False,35
404,suffer dri sensit vaselin one moistur without react flare itch terribl first thing notic beauti fresh aroma soon clip open lid soon appli drop onto instantli felt sooth sensat feel greasi unlik mani moistur absorb quickli effect quickli felt moisturis hydrat help dri problem massiv everi day particularli shower bath also bed confid still feel freshli moisturis come morn fantast definatli recommend review collect part promot,False,66
405,love light none sticki moisturis goe well soak leav residu tend leav feel soft moist heavi good everyday review collect part promot,False,22
406,usual get big carton brainer last month one prefer ideal sensit fair bit wash,True,14
407,bargain howev think consist shop one smell nice seem last iron,True,11
408,great valu money fantast love smell easi wash tablet,True,9
409,like simpl brand sensit need realli care chemic simpl face moisturis moisturis fantast littl smell gel like consist without sticki gloopi market moisturis appli well sink quickli leav feel refresh moisturis heavi sticki reaction moisturis combin moisturis ideal greasi hour wear find feel total normal greasi sometim get creami moisturis also found could appli makeup easili within short period time moisturis sunk easili light wrinkl although moisturis perform miracl prevent dri day effect heat sun think one best moisturis job side effect,False,82
410,havent tri hamper im make christma im sure good comfort,True,10
411,remov stain keep wash great condit,True,6
412,beat price smell clean love,True,5
413,aw buy wipe thick like wet paper towel usual wipe face actual sore,True,13
414,smell beauti well worth money,True,5
415,easi throw drum messi liquid spill wash well non bio,True,10
416,anyth gentl realli sting eye leav around eye dri flaki aw that go end bin,False,15
417,given review think good booster love soft dri flaki patch disappear,False,11
418,first time vaselin intens alo bodi lotion brilliant leav soft suppl nice fresh scent linger good dri thoroughli moisturis leav greasi patch would definit buy would highli recommend review collect part promot,False,32
419,lotion got bath felt realli luxuri smelt delici love fact littl drop vaselin jelli bottl good size last age highli recommend review collect part promot,False,25
420,great well packag great price,True,5
421,excel valu bulk buy save money long run,True,8
422,ok,True,1
423,like deodor afford bulk buy obviou choic far month still half pack left,True,13
424,arriv ok good item thank,True,5
425,good qualiti condition water leav cloth soft smell nice bulk buy deliv door simpl bought funnel could decant small condition bottl easier full l bottl pour condition section washer,True,29
426,great,True,1
427,great thank came day later smell love,True,7
